10.45.137.31 | SUCCESS | rc=0 >>
    id    | clubid  
----------+---------
  6608366 |  828366
 42208363 |  338363
  9078363 |  338363
  7198366 |  828366
    88367 |  828366
  9068363 |  338363
  7338366 |  828366
  8148366 |  828366
  7148366 |  828366
 42388363 |  828366
 30658366 |  828366
 42408363 |  828366
 30348366 |  828366
 20708366 |  828366
  7368363 |  338363
  1028363 |  338363
  7208366 |  828366
  7018379 | 1078367
 40398363 | 1078367
   318367 | 1078367
 31318366 |  828366
  2978367 | 1078367
  3598367 | 1078367
   138363 |  338363
   588366 | 1078367
   758363 |  338363
 31518366 |  828366
  5268363 |  338363
  1518365 | 1078367
  7268366 | 1078367
   688366 |  338363
   748379 | 1078367
  2198365 |  338363
   628366 |  828366
  2388363 |  338363
   108379 |  828366
  2218365 |  338363
  2388376 |  338363
  1358366 | 1078367
 42008363 |  338363
  4998366 |  338363
   298367 | 1078367
  3138367 | 1078367
 42078363 |  338363
  2698365 |  338363
    58363 |  828366
 42118363 | 1078367
  2148364 |  828366
  5388366 | 1078367
  1058376 | 1078367
 42148363 |  338363
 42178363 |  338363
   308378 |  338363
   128364 |  828366
  1388366 |  828366
   558380 | 1078367
   458367 |  828366
  4748378 | 1078367
   798379 |  828366
  4868380 | 1078367
  2148379 |  828366
   168379 | 1078367
  4268376 |  338363
  3048376 | 1078367
  1308376 | 1078367
  1118376 | 1078367
  7328376 | 1078367
  7318376 | 1078367
  7358376 | 1078367
  7338376 | 1078367
  7078376 |  338363
  2328376 |  338363
  6568378 | 1078367
  1148378 | 1078367
  6108378 | 1078367
(75 rows)
10.45.139.182 | SUCCESS | rc=0 >>
   id    | clubid 
---------+--------
 8058538 |  38554
 4738552 |  38554
 4508552 |  38554
 8148538 |  38554
 8068538 |  38554
 8018538 |  38554
 8118538 |  38554
 8038538 |  38554
 8108538 |  38554
 8048538 |  38554
  268554 |  38554
 8128538 |  38554
 7998538 |  38554
 4708552 |  38554
   78552 |  38554
 4508554 |  38554
 2478538 |  38554
 8028538 |  38554
 8078538 |  38554
 8008538 |  38554
 8158538 |  38554
 8088538 |  38554
  238538 |  38554
 8098538 |  38554
 9368538 |  38554
  248554 |  38554
(26 rows)
10.45.137.144 | SUCCESS | rc=0 >>
    id    | clubid 
----------+--------
  2758234 |  18236
  2368235 |  18236
 75048234 |  18236
   718234 |  18236
  1238251 |  18236
 43798234 |  18236
 46788255 |  18236
 10428234 |  18236
 31698234 |  18236
  5838230 |  18236
 23708255 |  18236
 24218252 |  18236
 16438237 |  18236
  4978236 |  18236
   848255 |  18236
   248236 |  18236
  2198234 |  18236
  3178234 |  18236
   978229 |  18236
